rowid,name,product_url,price,catalog_rank,is_smart_tv,is_4k,panel_led,panel_qled,panel_oled,rating
1,Croma 81.28 cm (32 inch) LED HD Ready Smart Linux TV with A+ Grade LED Panel (2025 model),https://www.croma.com/croma-81-28-cm-32-inch-led-hd-ready-smart-linux-tv-with-a+-grade-led-panel-2025-model-/p/316060,8690.0,1,0,0,1,0,0,4.2
2,Croma 109.22 cm (43 inch) QLED 4K Ultra HD Smart Google TV 5.0 with Dolby Audio (2025 model),https://www.croma.com/croma-109-22-cm-43-inch-qled-4k-ultra-hd-smart-google-tv-5-0-with-dolby-audio-2025-model-/p/317872,18990.0,2,0,1,0,1,0,3.6
3,Croma 140 cm (55 inch) Ultra HD QLED Google TV with Dolby Vision Atmos (2025 model),https://www.croma.com/croma-140-cm-55-inch-ultra-hd-qled-google-tv-with-dolby-vision-atmos-2025-model-/p/318567,28490.0,3,0,1,0,1,0,3.1
4,Croma 109.22 cm (43 inch) LED 4K Ultra HD Smart Google TV 5.0 with Dolby Audio (2025 model),https://www.croma.com/croma-109-22-cm-43-inch-led-4k-ultra-hd-smart-google-tv-5-0-with-dolby-audio-2025-model-/p/317871,18990.0,4,0,1,1,0,0,1.0
5,Croma 109 cm (43 inch) Full HD LED Smart Linux TV with Bezel Less Display,https://www.croma.com/croma-109-cm-43-inch-full-hd-led-smart-linux-tv-with-bezel-less-display/p/273733,15490.0,5,0,0,1,0,0,3.3
6,Croma 80 cm (32 inch) HD LED Google TV with Dolby Audio (2025 model),https://www.croma.com/croma-80-cm-32-inch-hd-led-google-tv-with-dolby-audio-2025-model-/p/317116,9990.0,6,0,0,1,0,0,3.7
7,Croma 81.28 cm (32 inch) QLED Smart Google TV 5.0 with Dolby Audio (2025 model),https://www.croma.com/croma-81-28-cm-32-inch-qled-smart-google-tv-5-0-with-dolby-audio-2025-model-/p/317870,10990.0,7,0,0,0,1,0,3.3
8,Croma 60 cm (24 inch) HD Ready LED TV with A Plus Grade Panel,https://www.croma.com/croma-60-cm-24-inch-hd-ready-led-tv-with-a-plus-grade-panel/p/304445,5490.0,8,0,0,1,0,0,3.4
9,Croma 140 cm (55 inch) 4K Ultra HD LED Google TV 5.0 with Dolby Audio (2025 model),https://www.croma.com/croma-140-cm-55-inch-4k-ultra-hd-led-google-tv-5-0-with-dolby-audio-2025-model-/p/318973,26990.0,9,0,1,1,0,0,5.0
10,TCL P7K 127 cm (50 inch) QLED 4K Ultra HD Smart Google TV with Google Voice Assistant (2025 model),https://www.croma.com/tcl-p7k-127-cm-50-inch-qled-4k-ultra-hd-smart-google-tv-with-google-voice-assistant-2025-model-/p/315734,32990.0,10,0,1,0,1,0,
